id,report_type_id,company_id,"name","uuid",total_score,published_by,"published_at",published_immediately,created_by,"created_at",updated_by,"updated_at",deleted_by,"deleted_at"
180,1,35,NULL,"89288ec5-6c7f-b0c4-8565-028535d08b1c",177,1,"2010-04-14 00:00:00",0,5,"2009-12-08 09:18:42",13,"2011-04-20 13:38:25",NULL,NULL
181,1,35,NULL,"672658fc-214f-3794-91b3-d96abdc26560",183,5,"2009-04-14 00:00:00",0,5,"2009-12-08 09:18:42",1,"2010-04-15 01:31:00",NULL,NULL
182,1,35,NULL,"6a161dfa-13e9-eae4-5d53-c8a79ac0c7a1",177,5,"2008-04-14 00:00:00",0,5,"2009-12-08 09:18:42",1,"2010-04-15 01:31:02",NULL,NULL
183,1,35,NULL,"d3c7047b-3260-49a4-7dfb-746a0824ab51",167,5,"2007-04-14 00:00:00",0,5,"2009-12-08 09:18:42",1,"2010-04-15 01:31:04",NULL,NULL
184,1,16,NULL,"dbe0742a-d9df-b734-358b-d63b8063c997",192,1,"2010-04-14 00:00:00",0,1,"2009-10-28 14:54:14",13,"2011-04-20 13:38:25",NULL,NULL
185,1,16,NULL,"e596b58f-a932-5aa4-c572-505bfc528555",195,13,"2009-04-14 00:00:00",0,1,"2009-10-28 14:54:14",1,"2010-04-15 01:31:18",NULL,NULL
186,1,16,NULL,"0696419f-73d8-5f24-45ff-7b6401645f0a",209,1,"2008-04-14 00:00:00",0,1,"2009-10-28 14:54:14",1,"2010-04-15 01:31:21",NULL,NULL
187,1,16,NULL,"810a8c96-3f8c-5be4-e5e7-2f6e822bc38d",199,1,"2007-04-14 00:00:00",0,1,"2009-10-28 14:54:14",1,"2010-04-15 01:32:01",NULL,NULL
188,1,81,NULL,"f0704145-bebc-31c4-d953-ab7319ab551b",144,1,"2010-04-14 00:00:00",0,13,"2010-01-26 16:10:39",13,"2011-04-20 13:38:25",NULL,NULL
189,1,81,NULL,"836cec94-bad3-c804-ad82-347fdb744b7f",142,13,"2009-04-14 00:00:00",0,13,"2010-01-26 16:10:39",1,"2010-04-15 01:32:11",NULL,NULL
